date,AT_th,BE_th,BG_th,CZ_th,DK_th,DE_th,EE_th,IE_th,ES_th,FR_th,HR_th,IT_th,LV_th,LT_th,LU_th,HU_th,NL_th,PL_th,PT_th,RO_th,SI_th,SK_th,FI_th,SE_th,NO_th,CH_th,UK_th,EL_th
2019-08-23 15:00,3252.495023,4109.967344,946.46787,3831.611202,0,31299.59742,0,2844.934161,1412.793954,12874.1118,757.098959,6692.623736,0,0,199.6189556,2560.684073,6251.192827,14177.51967,475.9899099,4013.835605,824.7360274,1792.099682,1.126678006,7.066931342,199.6926705,1721.283937,27855.35026,2.04445216
2019-08-23 16:00,3254.816575,4399.864991,1046.334983,4089.488586,0,31791.50754,0,2989.855003,1341.734451,13101.38735,760.4864264,7196.286139,0,0,197.4725152,2588.750887,6643.129553,14428.60187,474.677902,4308.933799,847.4873661,1775.807866,2.475399733,10.34703758,230.14722,2352.089288,29583.02812,2.89876212
2019-08-23 17:00,3486.971823,4763.779058,1089.459419,4420.46507,0,34157.65748,0,3184.808042,1459.042266,14208.75117,818.0733718,7871.889697,0,0,212.4975979,2763.75573,7128.101764,15469.3472,464.7517021,4488.993714,913.8454373,1892.565876,157.8073307,15.00166456,273.6020613,3398.116384,31341.80419,8.384276026
2019-08-23 18:00,3661.088259,4883.027735,985.052891,4526.05266,0,35668.67252,10.27245738,3386.662073,1823.299843,14824.49058,853.6417793,10560.92461,6.478485363,0,225.3762402,2884.277933,7322.090648,16122.9276,500.1630827,4033.842262,946.0765004,1993.03207,3183.449854,1059.323749,698.3729249,6496.258398,34045.62005,53.77400952
2019-08-23 19:00,3271.067443,4517.057656,783.0489572,4140.25185,0,32048.87823,12.30658329,3317.652148,2223.997636,13322.21536,767.2613612,11389.15089,59.11886705,4.889434595,199.6189556,2585.448909,6785.651999,14497.60156,723.2555075,2935.976947,853.1752008,1770.377261,4351.463475,2409.151709,2909.131528,8677.542502,34598.47697,92.76810556
2019-08-23 20:00,2437.630103,3435.595514,512.9538096,3147.322397,0,23852.45183,59.19686765,3086.468899,2736.424645,10166.14788,564.0133185,14479.71345,123.8655123,26.34963798,150.2508268,1890.382504,5097.156913,10702.6186,935.3601294,1763.086668,625.6618139,1292.484013,5157.767253,3305.702622,3605.634034,9726.47085,31592.31748,106.2050909
2019-08-23 21:00,1499.722901,2234.884694,372.231968,1963.52307,0,14722.01887,152.6795309,2253.174053,3161.358169,6426.578661,343.8279389,16149.94789,234.5898429,115.7038755,96.58981722,1147.437415,3299.790514,6478.304241,989.0400963,1300.432719,375.3970883,779.2918313,5647.360892,4133.685734,3906.344742,8497.02981,23952.52595,111.2855625
2019-08-23 22:00,1067.91414,1741.441891,424.4352319,1539.142179,2.019005071,9744.801716,230.6294144,1483.713389,3721.658015,5590.011236,303.1783304,17502.25024,373.1813102,279.1309288,75.1254134,815.5886085,2401.107315,4314.397292,1091.840961,1362.953523,288.1836234,540.3452071,5980.334083,4789.10532,4169.844992,9649.16641,15144.82419,153.2208051
2019-08-23 23:00,1216.493499,1811.346288,424.4352319,1602.088627,13.2488537,11012.97506,293.139217,1385.374246,4573.32843,6170.289219,313.3407325,18354.88782,515.3411623,450.1331824,85.85761531,875.0242156,2502.060714,4822.311678,1300.326266,1220.406091,301.4552376,613.6583759,6141.06916,5362.051266,4529.453928,11094.94469,12418.54851,232.57197
2019-08-24 0:00,1181.670212,1788.73016,490.2567384,1730.012053,33.94474553,10577.10533,334.3127674,1419.879208,5375.473506,6113.873304,303.1783304,17950.27157,647.1958764,586.5144418,81.56473455,888.2321283,2444.65584,4668.979033,1588.670773,1435.477656,290.0795683,586.5053504,6345.318619,5815.690561,4922.329187,12152.29085,13220.19104,318.0693821
