Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 82	4587.090138	0.000000	160.899109	0.000000	0.942343	0.049521	0.000000	-1.155218	3.379878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 83	4584.786688	0.000000	160.899109	0.000000	0.942154	0.049511	0.000000	-1.157162	3.460612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 84	4582.249527	0.000000	160.899109	0.000000	0.941966	0.049501	0.000000	-1.159172	3.696333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.411500	0.411500	-0.058014	0.058014	0.000000	0.000000	
 85	4579.167888	0.000000	160.899109	0.000000	0.941777	0.049491	0.000000	-1.161183	4.242822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 86	4576.265407	0.000000	160.899109	0.000000	0.941589	0.049481	0.000000	-1.163261	4.065742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.378766	0.378766	-0.053399	0.053399	0.000000	0.000000	
 87	4572.985479	0.000000	160.899109	0.000000	0.941401	0.049471	0.000000	-1.165204	4.445132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.425528	0.425528	-0.059991	0.059991	0.000000	0.000000	
 88	4569.572884	0.000000	160.899109	0.000000	0.941212	0.049461	0.000000	-1.167215	4.579810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444233	0.444233	-0.062628	0.062628	0.000000	0.000000	
 89	4566.067864	0.000000	160.899109	0.000000	0.941024	0.049451	0.000000	-1.169292	4.674312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444233	0.444233	-0.062628	0.062628	0.000000	0.000000	
 90	4563.325919	0.000000	160.899109	0.000000	0.940836	0.049442	0.000000	-1.171303	3.913249	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 91	4561.340452	0.000000	160.899109	0.000000	0.940648	0.049432	0.000000	-1.173247	3.158714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.233807	0.233807	-0.032962	0.032962	0.000000	0.000000	
 92	4559.775132	0.000000	160.899109	0.000000	0.940460	0.049422	0.000000	-1.175257	2.740577	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175355	0.175355	-0.024722	0.024722	0.000000	0.000000	
 93	4558.615502	0.000000	160.899109	0.000000	0.940272	0.049412	0.000000	-1.177335	2.336964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.116903	0.116903	-0.016481	0.016481	0.000000	0.000000	
 94	4557.467286	0.000000	160.899109	0.000000	0.940084	0.049402	0.000000	-1.179345	2.327562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074818	0.074818	-0.010548	0.010548	0.000000	0.000000	
 95	4556.212621	0.000000	160.899109	0.000000	0.939896	0.049392	0.000000	-1.181356	2.436021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046761	0.046761	-0.006592	0.006592	0.000000	0.000000	
 96	4554.682883	0.000000	160.899109	0.000000	0.992213	0.052141	0.000000	-1.183367	2.713104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.071210	0.018705	-0.005396	0.002637	0.000000	0.000000	
 97	4556.159594	0.000000	160.899109	0.000000	1.343984	0.146864	0.000000	-1.476712	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.363660	0.011690	-0.096381	0.001648	0.000000	0.000000	
 98	4557.635033	0.000000	160.899109	0.000000	1.473747	0.180367	0.000000	-1.475438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.134708	0.004676	-0.034192	0.000659	0.000000	0.000000	
 99	4559.109131	0.000000	160.899109	0.000000	1.801258	0.276858	0.000000	-1.474098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.330144	0.002338	-0.096857	0.000330	0.000000	0.000000	
