,PHOT,WTOF,WTON,BEVS,HROR
1/14/2016 21:00,0,0,0.762876,0.850075137,0.127613147
1/14/2016 22:00,0,0,0.789712,0.934259206,0.127644711
1/14/2016 23:00,0,0,0.833965,0.968161095,0.127676275
1/15/2016 0:00,0,0,0.872094,0.96312514,0.127707838
1/15/2016 1:00,0,0,0.872188,0.960930166,0.127724797
1/15/2016 2:00,0,0,0.850904,0.941037652,0.127741756
1/15/2016 3:00,0,0,0.851592,0.883405505,0.127758715
1/15/2016 4:00,0,0,0.870299,0.788554131,0.127775674
1/15/2016 5:00,0,0,0.885615,0.69165728,0.127792632
1/15/2016 6:00,0,0,0.88101,0.568891557,0.127809591
1/15/2016 7:00,0,0,0.855938,0.491622191,0.12782655
1/15/2016 8:00,0.021,0,0.822589,0.476619893,0.127843509
1/15/2016 9:00,0.058,0,0.776096,0.461608642,0.127860468
1/15/2016 10:00,0.074,0,0.747699,0.442464579,0.127877427
1/15/2016 11:00,0.07,0,0.709637,0.438272662,0.127894386
1/15/2016 12:00,0.058,0,0.661243,0.417658438,0.127911344
1/15/2016 13:00,0.039,0,0.581269,0.419357369,0.127928303
1/15/2016 14:00,0.017,0,0.479716,0.436973481,0.127945262
1/15/2016 15:00,0,0,0.386826,0.46230555,0.127962221
1/15/2016 16:00,0,0,0.314922,0.478504007,0.12797918
1/15/2016 17:00,0,0,0.276731,0.549393129,0.127996139
1/15/2016 18:00,0,0,0.270557,0.679940054,0.128013098
1/15/2016 19:00,0,0,0.254719,0.796534909,0.128030057
1/15/2016 20:00,0,0,0.232775,0.823566249,0.128047015
1/15/2016 21:00,0,0,0.219113,0.903863394,0.128063974
1/15/2016 22:00,0,0,0.220679,0.941644378,0.128080933
1/15/2016 23:00,0,0,0.208593,0.967759868,0.128097892
1/16/2016 0:00,0,0,0.192011,0.978321618,0.128114851
1/16/2016 1:00,0,0,0.167115,0.973685465,0.128113964
1/16/2016 2:00,0,0,0.158241,0.945604213,0.128113078
1/16/2016 3:00,0,0,0.15989,0.900161358,0.128112191
1/16/2016 4:00,0,0,0.162808,0.829422736,0.128111305
1/16/2016 5:00,0,0,0.180436,0.743656797,0.128110419
1/16/2016 6:00,0,0,0.221342,0.655969986,0.128109532
1/16/2016 7:00,0,0,0.269401,0.536094148,0.128108646
1/16/2016 8:00,0.034,0,0.347155,0.505549491,0.128107759
1/16/2016 9:00,0.065,0,0.482116,0.474026118,0.128106873
1/16/2016 10:00,0.078,0,0.521204,0.445787286,0.128105986
1/16/2016 11:00,0.113,0,0.601776,0.445527381,0.1281051
1/16/2016 12:00,0.175,0,0.68171,0.444062631,0.128104213
1/16/2016 13:00,0.21,0,0.661492,0.439747845,0.128103327
1/16/2016 14:00,0.149,0,0.62125,0.427134099,0.12810244
1/16/2016 15:00,0.026,0,0.580029,0.417702991,0.128101554
1/16/2016 16:00,0,0,0.471113,0.445144419,0.128100668
1/16/2016 17:00,0,0,0.37629,0.514411114,0.128099781
1/16/2016 18:00,0,0,0.33634,0.595476591,0.128098895
1/16/2016 19:00,0,0,0.317835,0.637892316,0.128098008
1/16/2016 20:00,0,0,0.344375,0.66319901,0.128097122
1/16/2016 21:00,0,0,0.381844,0.695967774,0.128096235
1/16/2016 22:00,0,0,0.379856,0.724075995,0.128095349
1/16/2016 23:00,0,0,0.338441,0.758806553,0.128094462
1/17/2016 0:00,0,0,0.362691,0.807153972,0.128093576
1/17/2016 1:00,0,0,0.330558,0.804575374,0.128079756
1/17/2016 2:00,0,0,0.321456,0.79368451,0.128065936
1/17/2016 3:00,0,0,0.310781,0.774235354,0.128052116
1/17/2016 4:00,0,0,0.280975,0.749577788,0.128038296
1/17/2016 5:00,0,0,0.281838,0.70855631,0.128024476
1/17/2016 6:00,0,0,0.316306,0.661260872,0.128010656
1/17/2016 7:00,0.003,0,0.307147,0.615021237,0.127996836
1/17/2016 8:00,0.095,0,0.224055,0.579205203,0.127983016
1/17/2016 9:00,0.252,0,0.234171,0.506941808,0.127969196
1/17/2016 10:00,0.355,0,0.299843,0.488504758,0.127955376
1/17/2016 11:00,0.423,0,0.274091,0.502204805,0.127941557
1/17/2016 12:00,0.435,0,0.227587,0.55542318,0.127927737
1/17/2016 13:00,0.374,0,0.1764,0.571451434,0.127913917
1/17/2016 14:00,0.228,0,0.113716,0.60095986,0.127900097
1/17/2016 15:00,0.048,0,0.083675,0.570440262,0.127886277
1/17/2016 16:00,0,0,0.069875,0.523067406,0.127872457
1/17/2016 17:00,0,0,0.049289,0.556869585,0.127858637
1/17/2016 18:00,0,0,0.03346,0.551878035,0.127844817
1/17/2016 19:00,0,0,0.025971,0.524723882,0.127830997
1/17/2016 20:00,0,0,0.02517,0.543340435,0.127817177
1/17/2016 21:00,0,0,0.036075,0.56231939,0.127803357
1/17/2016 22:00,0,0,0.05501,0.627117149,0.127789537
1/17/2016 23:00,0,0,0.076841,0.681080055,0.127775717
1/18/2016 0:00,0,0,0.10039,0.688477657,0.127761897
1/18/2016 1:00,0,0,0.120394,0.681706449,0.127743194
