	BE_LT	BE_HT
2678	4603,013425	7456,76054
2679	3722,126802	7456,76054
2680	3545,949478	7456,76054
2681	4603,013425	7456,76054
2682	6717,141318	7456,76054
2683	9712,155833	7456,76054
2684	12883,34767	7456,76054
2685	14468,94359	7456,76054
2686	15878,36219	7456,76054
2687	17463,95811	7456,76054
2688	18873,3767	7456,76054
2689	19401,90868	7456,76054
2690	19930,44065	7456,76054
2691	20106,61798	7456,76054
2692	20282,7953	7456,76054
2693	20282,7953	7456,76054
2694	20106,61798	7456,76054
2695	19049,55403	7456,76054
2696	18168,66741	7456,76054
2697	17640,13543	7456,76054
2698	17463,95811	7456,76054
2699	16406,89416	7456,76054
2700	15173,65289	7456,76054
2701	13411,87965	7456,76054
2702	10593,04246	7456,76054
2703	7774,205265	7456,76054
2704	6012,43202	7456,76054
2705	4955,368074	7456,76054
2706	4603,013425	7456,76054
2707	5307,722722	7456,76054
2708	6717,141318	7456,76054
2709	9359,801185	7456,76054
2710	12178,63838	7456,76054
2711	14821,29824	7456,76054
2712	17640,13543	7456,76054
2713	20811,32727	7456,76054
2714	24511,05109	7456,76054
2715	26449,00166	7456,76054
2716	28386,95222	7456,76054
2717	29796,37082	7456,76054
2718	29620,1935	7456,76054
2719	26625,17898	7456,76054
2720	23277,80982	7456,76054
2721	19578,086	7456,76054
2722	16230,71684	7456,76054
2723	13059,525	7456,76054
2724	10416,86513	7456,76054
2725	8302,737238	7456,76054
2726	7069,495967	7456,76054
2727	6540,963994	7456,76054
2728	6540,963994	7456,76054
2729	7774,205265	7456,76054
2730	9712,155833	7456,76054
2731	12530,99302	7456,76054
2732	15526,00754	7456,76054
2733	17640,13543	7456,76054
2734	19930,44065	7456,76054
2735	22220,74587	7456,76054
2736	24334,87376	7456,76054
2737	24687,22841	7456,76054
2738	25215,76038	7456,76054
2739	25568,11503	7456,76054
2740	25920,46968	7456,76054
2741	26096,64701	7456,76054
2742	25215,76038	7456,76054
2743	20987,5046	7456,76054
2744	17111,60346	7456,76054
2745	13588,05697	7456,76054
2746	9535,978509	7456,76054
2747	4603,013425	7456,76054
2748	3193,594829	7456,76054
2749	3017,417505	7456,76054
2750	3017,417505	7456,76054
2751	3017,417505	7456,76054
2752	3017,417505	7456,76054
2753	3369,772154	7456,76054
2754	5660,077371	7456,76054
2755	8126,559913	7456,76054
2756	10593,04246	7456,76054
2757	12178,63838	7456,76054
2758	13764,2343	7456,76054
2759	15526,00754	7456,76054
2760	17111,60346	7456,76054
2761	17992,49008	7456,76054
2762	19225,73135	7456,76054
2763	19754,26333	7456,76054
2764	20458,97262	7456,76054
2765	20811,32727	7456,76054
2766	20282,7953	7456,76054
2767	18873,3767	7456,76054
2768	16759,24881	7456,76054
2769	14292,76627	7456,76054
2770	12354,8157	7456,76054
2771	10945,3971	7456,76054
2772	10240,68781	7456,76054
2773	9888,333158	7456,76054
2774	9535,978509	7456,76054
2775	9535,978509	7456,76054
2776	9535,978509	7456,76054
2777	10064,51048	7456,76054
2778	11297,75175	7456,76054
2779	12530,99302	7456,76054
2780	14468,94359	7456,76054
2781	14997,47557	7456,76054
2782	16230,71684	7456,76054
2783	17287,78078	7456,76054
2784	18344,84473	7456,76054
2785	18697,19938	7456,76054
2786	19049,55403	7456,76054
2787	19225,73135	7456,76054
2788	19578,086	7456,76054
2789	19754,26333	7456,76054
2790	19225,73135	7456,76054
2791	17111,60346	7456,76054
2792	14468,94359	7456,76054
2793	11650,1064	7456,76054
2794	9183,62386	7456,76054
2795	6893,318642	7456,76054
2796	4955,368074	7456,76054
2797	3369,772154	7456,76054
2798	3017,417505	7456,76054
2799	3017,417505	7456,76054
2800	3017,417505	7456,76054
2801	3017,417505	7456,76054
2802	3545,949478	7456,76054
2803	5307,722722	7456,76054
2804	7245,673291	7456,76054
2805	9359,801185	7456,76054
2806	11473,92908	7456,76054
2807	13588,05697	7456,76054
2808	15702,18486	7456,76054
2809	17640,13543	7456,76054
2810	19754,26333	7456,76054
2811	20811,32727	7456,76054
2812	21868,39122	7456,76054
2813	22749,27784	7456,76054
2814	22396,92319	7456,76054
2815	20106,61798	7456,76054
2816	17640,13543	7456,76054
2817	15173,65289	7456,76054
2818	13059,525	7456,76054
2819	10769,21978	7456,76054
2820	9007,446536	7456,76054
2821	7598,02794	7456,76054
2822	6717,141318	7456,76054
2823	6364,786669	7456,76054
2824	6188,609345	7456,76054
2825	6893,318642	7456,76054
2826	8126,559913	7456,76054
2827	10064,51048	7456,76054
2828	12002,46105	7456,76054
2829	14645,12092	7456,76054
2830	17287,78078	7456,76054
2831	19930,44065	7456,76054
2832	22573,10052	7456,76054
2833	24334,87376	7456,76054
2834	26272,82433	7456,76054
2835	27329,88828	7456,76054
2836	28386,95222	7456,76054
2837	29091,66152	7456,76054
2838	28739,30687	7456,76054
2839	26625,17898	7456,76054
2840	24334,87376	7456,76054
2841	22044,56854	7456,76054
2842	19401,90868	7456,76054
2843	17287,78078	7456,76054
2844	15702,18486	7456,76054
2845	14645,12092	7456,76054
2846	13764,2343	7456,76054
2847	13235,70232	7456,76054
2848	13235,70232	7456,76054
2849	14116,58894	7456,76054
2850	15526,00754	7456,76054
2851	17287,78078	7456,76054
2852	19049,55403	7456,76054
2853	21339,85925	7456,76054
2854	23630,16446	7456,76054
2855	25920,46968	7456,76054
2856	28210,7749	7456,76054
2857	29796,37082	7456,76054
2858	31734,32139	7456,76054
2859	32791,38534	7456,76054
2860	34024,62661	7456,76054
2861	35081,69055	7456,76054
2862	34376,98126	7456,76054
2863	31381,96674	7456,76054
2864	28210,7749	7456,76054
2865	24863,40574	7456,76054
2866	21692,2139	7456,76054
2867	18873,3767	7456,76054
2868	16406,89416	7456,76054
2869	14645,12092	7456,76054
2870	13588,05697	7456,76054
2871	13235,70232	7456,76054
2872	13411,87965	7456,76054
2873	14645,12092	7456,76054
2874	16759,24881	7456,76054
2875	19578,086	7456,76054
2876	22573,10052	7456,76054
2877	24334,87376	7456,76054
2878	25920,46968	7456,76054
2879	27506,0656	7456,76054
2880	29091,66152	7456,76054
2881	27858,42025	7456,76054
2882	26625,17898	7456,76054
2883	25920,46968	7456,76054
2884	25568,11503	7456,76054
2885	25568,11503	7456,76054
2886	24158,69644	7456,76054
2887	21692,2139	7456,76054
2888	18344,84473	7456,76054
2889	14468,94359	7456,76054
2890	10769,21978	7456,76054
2891	7421,850616	7456,76054
2892	4250,658776	7456,76054
2893	3017,417505	7456,76054
2894	3017,417505	7456,76054
2895	3017,417505	7456,76054
2896	3017,417505	7456,76054
2897	3017,417505	7456,76054
2898	3017,417505	7456,76054
2899	3369,772154	7456,76054
2900	5836,254696	7456,76054
2901	6893,318642	7456,76054
2902	7950,382589	7456,76054
2903	9183,62386	7456,76054
2904	10240,68781	7456,76054
2905	11297,75175	7456,76054
2906	12530,99302	7456,76054
2907	13059,525	7456,76054
2908	13411,87965	7456,76054
2909	13588,05697	7456,76054
2910	13059,525	7456,76054
2911	12002,46105	7456,76054
2912	10416,86513	7456,76054
2913	9007,446536	7456,76054
2914	7598,02794	7456,76054
2915	6188,609345	7456,76054
2916	5131,545398	7456,76054
2917	4074,481451	7456,76054
2918	3369,772154	7456,76054
2919	3017,417505	7456,76054
2920	3369,772154	7456,76054
2921	3193,594829	7456,76054
2922	3722,126802	7456,76054
2923	4779,190749	7456,76054
2924	5836,254696	7456,76054
