	BE
1699	11064.83
1700	11350.06
1701	11095.43
1702	10861.03
1703	10868.23
1704	10664.88
1705	10366.60
1706	10138.50
1707	9975.19
1708	9927.05
1709	10013.88
1710	10223.98
1711	10789.05
1712	11014.44
1713	11078.78
1714	11175.51
1715	11153.46
1716	11185.85
1717	11103.52
1718	11076.53
1719	11016.24
1720	10969.46
1721	10923.57
1722	10932.11
1723	11037.39
1724	11258.74
1725	11018.49
1726	10749.91
1727	10782.30
1728	10644.18
1729	10372.90
1730	10147.05
1731	9997.69
1732	9947.75
1733	9980.59
1734	10196.99
1735	10735.96
1736	11013.54
1737	11129.62
1738	11172.36
1739	11165.16
1740	11196.20
1741	11077.88
1742	10994.65
1743	10920.42
1744	10857.88
1745	10827.29
1746	10811.09
1747	10887.57
1748	11111.62
1749	10908.72
1750	10648.68
1751	10728.31
1752	10637.43
1753	10343.20
1754	10031.43
1755	9859.57
1756	9778.14
1757	9760.14
1758	9756.54
1759	9894.21
1760	9989.14
1761	10301.81
1762	10590.65
1763	10706.72
1764	10777.80
1765	10783.20
1766	10672.53
1767	10505.17
1768	10436.78
1769	10398.54
1770	10451.63
1771	10567.25
1772	10770.15
1773	10577.15
1774	10354.00
1775	10404.84
1776	10369.75
1777	10086.32
1778	9801.08
1779	9609.88
1780	9596.38
1781	9560.84
1782	9617.98
1783	9719.20
1784	9691.76
1785	9896.01
1786	10146.60
1787	10299.11
1788	10482.67
1789	10546.11
1790	10250.98
1791	10054.82
1792	9958.10
1793	9907.26
1794	9980.59
1795	10236.13
1796	10648.23
1797	10568.15
1798	10340.06
1799	10345.90
1800	10233.43
1801	9939.65
1802	9788.49
1803	9646.77
1804	9608.98
1805	9692.66
1806	9914.91
1807	10472.77
1808	10803.00
1809	10975.30
1810	11134.57
1811	11205.65
1812	11238.49
1813	11119.27
1814	11157.96
1815	11152.11
1816	11089.58
1817	11029.74
1818	11082.83
1819	11186.30
1820	11314.07
1821	11086.43
1822	10778.25
1823	10764.75
1824	10642.83
1825	10329.26
1826	10082.27
1827	9909.96
1828	9881.61
1829	9932.45
1830	10133.10
1831	10652.28
1832	10962.71
1833	11149.86
1834	11319.47
1835	11304.18
1836	11391.90
1837	11264.59
1838	11294.73
1839	11268.18
1840	11283.48
1841	11142.66
1842	11173.71
1843	11293.38
1844	11397.30
1845	11176.86
1846	10854.28
1847	10906.02
1848	10769.70
1849	10421.49
1850	10139.85
1851	9974.29
1852	9927.50
1853	9985.99
1854	10214.98
1855	10669.38
1856	10947.41
1857	11026.14
1858	11126.47
1859	11118.37
1860	11149.41
1861	11095.88
1862	11068.43
1863	10991.50
1864	10959.56
1865	10891.62
1866	10928.97
1867	11016.24
1868	11238.04
1869	11033.34
1870	10781.40
1871	10772.85
