,[10] - BE_BATT_LI,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[9] - BE_PHS,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-01-17 13:00:00,4444.948657638904,29094.192000000003,0.0,0.0,7456.7609999999995,29267.548
2015-01-17 14:00:00,1315.9101393289063,29094.192000000003,0.0,0.0,7456.7609999999995,29267.548
2015-01-17 15:00:00,0.0,29094.192000000003,0.0,0.0,7456.7609999999995,13896.70913394512
2015-01-17 16:00:00,0.0,21106.51375667564,0.0,0.0,7456.7609999999995,0.0
2015-01-17 17:00:00,0.0,13726.418374195635,0.0,0.0,7456.7609999999995,0.0
2015-01-17 18:00:00,0.0,16205.05231839564,0.0,0.0,7456.7609999999995,0.0
2015-01-17 19:00:00,0.0,8001.5643653983925,0.0,0.0,7456.7609999999995,9672.422380766015
2015-01-17 20:00:00,0.0,965.0791091956442,0.0,0.0,7456.7609999999995,16426.911999999997
2015-01-17 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,17707.377999999993
2015-01-17 22:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-17 23:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-18 00:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,12852.076
2015-01-18 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14369.936000000002
2015-01-18 02:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14430.89
2015-01-18 03:00:00,0.0,142.39955983564755,0.0,0.0,7456.7609999999995,11554.101
2015-01-18 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16426.911999999997
2015-01-18 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16199.938
2015-01-18 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16313.425
2015-01-18 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16199.938
2015-01-18 08:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15972.964000000002
2015-01-18 09:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15745.99
2015-01-18 10:00:00,0.0,86.183587675642,0.0,0.0,7456.7609999999995,15519.016
2015-01-18 11:00:00,0.0,16626.409950940033,0.0,0.0,7456.7609999999995,16210.14138346505
