Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Connected,1988,CAPP,1.88857E-08,1.66441E-08,1.1841E-08,1.04355E-08
Thermal,Connected,1989,CAPP,1.14381E-08,9.94998E-09,7.17149E-09,6.23844E-09
Thermal,Connected,1990,CAPP,2.0552E-08,1.89947E-08,1.28857E-08,1.19093E-08
Thermal,Connected,1991,CAPP,2.3866E-08,2.16489E-08,1.49635E-08,1.35734E-08
Thermal,Connected,1992,CAPP,4.30818E-08,4.08402E-08,2.70115E-08,2.5606E-08
Thermal,Connected,1993,CAPP,4.26544E-08,4.04189E-08,2.67435E-08,2.53419E-08
Thermal,Connected,1994,CAPP,2.8234E-08,2.59985E-08,1.77022E-08,1.63006E-08
Thermal,Connected,1995,CAPP,3.96132E-08,3.73962E-08,2.48367E-08,2.34467E-08
Thermal,Connected,1996,CAPP,1.63123E-08,1.40707E-08,1.02275E-08,8.82207E-09
Thermal,Connected,1997,CAPP,1.43215E-08,1.20861E-08,8.97933E-09,7.57773E-09
Thermal,Connected,1998,CAPP,3.37555E-08,3.16928E-08,2.1164E-08,1.98708E-08
Thermal,Connected,1999,CAPP,4.24087E-08,4.01732E-08,2.65894E-08,2.51878E-08
Thermal,Connected,2000,CAPP,4.049E-08,3.92507E-08,2.53864E-08,2.46094E-08
Thermal,Connected,2001,CAPP,4.21211E-08,3.98856E-08,2.64091E-08,2.50075E-08
Thermal,Connected,2002,CAPP,3.06754E-08,2.86975E-08,1.92329E-08,1.79928E-08
Thermal,Connected,2003,CAPP,2.80491E-08,2.61607E-08,1.75862E-08,1.64022E-08
Thermal,Connected,2004,CAPP,3.17894E-08,2.95477E-08,1.99313E-08,1.85258E-08
Thermal,Connected,2005,CAPP,4.5012E-08,4.27766E-08,2.82217E-08,2.68201E-08
Thermal,Connected,2006,CAPP,1.67955E-08,1.45723E-08,1.05305E-08,9.13656E-09
Thermal,Connected,2007,CAPP,4.12125E-08,3.89955E-08,2.58395E-08,2.44494E-08
Thermal,Connected,2008,CAPP,3.41741E-08,3.20336E-08,2.14265E-08,2.00845E-08
Thermal,Connected,2009,CAPP,2.67188E-08,2.44833E-08,1.67522E-08,1.53506E-08
Thermal,Connected,2010,CAPP,2.64484E-08,2.42129E-08,1.65826E-08,1.5181E-08
Thermal,Connected,2011,CAPP,1.72407E-08,1.5226E-08,1.08096E-08,9.54641E-09
Thermal,Connected,2012,CAPP,3.40265E-08,3.19578E-08,2.1334E-08,2.00369E-08
Thermal,Connected,2013,CAPP,3.75511E-08,3.54611E-08,2.35438E-08,2.22334E-08
Thermal,Connected,2014,CAPP,3.25488E-08,3.03134E-08,2.04075E-08,1.90059E-08
Thermal,Connected,2015,CAPP,2.82987E-08,2.60633E-08,1.77428E-08,1.63412E-08
Thermal,Connected,2016,CAPP,4.70903E-08,4.75191E-08,2.95247E-08,2.97935E-08
Thermal,Connected,2017,CAPP,4.20457E-08,4.37801E-08,2.63618E-08,2.74493E-08
Thermal,Connected,2018,CAPP,1.95846E-08,1.73491E-08,1.22792E-08,1.08776E-08
Thermal,Connected,1980,EAPP,0.000313953,0.01573083,0.000203471,0.010195075
Thermal,Connected,1981,EAPP,0.00030745,0.015580365,0.000199257,0.01009756
Thermal,Connected,1982,EAPP,0.000311667,0.015660606,0.00020199,0.010149564
